"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Screw_Terminal_01x03";;;
2;"U1";"MPX2200";1;"mpx2200";;;
3;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"220";;;
4;"U5";"ina125p_bigger_pads";1;"INA125P";;;
5;"J1,J2";"TerminalBlock_Altech_AK300-3_P5.00mm";2;"Screw_Terminal_01x03";;;
6;"D1";"LED_D3.0mm";1;"LED";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"810";;;
8;"R2,R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"10k";;;
9;"U3";"DIP-14_W7.62mm";1;"MCP4251-xxxx-P";;;
10;"Q1";"TO-220-3_Vertical";1;"IRF540N";;;
11;"U4,U6";"Microchip-MCP3301-CI_P-Manufacturer_Recommended";2;"MCP3301";;;
12;"A1";"Arduino_SHIELD_UNO_R3_WithMountingHoles";1;"Arduino_UNO_R3";;;
